zip,city,state_short,state_long,county,country,timezone
501,Holtsville,NY,New York,Suffolk County,United States of America,America/New_York
544,Holtsville,NY,New York,Suffolk County,United States of America,America/New_York
601,Adjuntas,PR,Puerto Rico,Adjuntas Municipio,United States of America,America/Puerto_Rico
602,Aguada,PR,Puerto Rico,Aguada Municipio,United States of America,America/Puerto_Rico
603,Aguadilla,PR,Puerto Rico,Aguadilla Municipio,United States of America,America/Puerto_Rico
604,Aguadilla,PR,Puerto Rico,,United States of America,America/Puerto_Rico
605,Aguadilla,PR,Puerto Rico,,United States of America,America/Puerto_Rico
606,Maricao,PR,Puerto Rico,Maricao Municipio,United States of America,America/Puerto_Rico
610,Anasco,PR,Puerto Rico,Anasco Municipio,United States of America,America/Puerto_Rico
611,Angeles,PR,Puerto Rico,Utuado Municipio,United States of America,America/Puerto_Rico
612,Arecibo,PR,Puerto Rico,Arecibo Municipio,United States of America,America/Puerto_Rico
613,Arecibo,PR,Puerto Rico,,United States of America,America/Puerto_Rico
614,Arecibo,PR,Puerto Rico,,United States of America,America/Puerto_Rico
616,Bajadero,PR,Puerto Rico,Arecibo Municipio,United States of America,America/Puerto_Rico
617,Barceloneta,PR,Puerto Rico,Barceloneta Municipio,United States of America,America/Puerto_Rico
622,Boqueron,PR,Puerto Rico,Cabo Rojo Municipio,United States of America,America/Puerto_Rico
623,Cabo Rojo,PR,Puerto Rico,Cabo Rojo Municipio,United States of America,America/Puerto_Rico
624,Penuelas,PR,Puerto Rico,Penuelas Municipio,United States of America,America/Puerto_Rico
627,Camuy,PR,Puerto Rico,Camuy Municipio,United States of America,America/Puerto_Rico
631,Castaner,PR,Puerto Rico,Lares Municipio,United States of America,America/Puerto_Rico
636,Rosario,PR,Puerto Rico,San German Municipio,United States of America,America/Puerto_Rico
637,Sabana Grande,PR,Puerto Rico,Sabana Grande Municipio,United States of America,America/Puerto_Rico
638,Ciales,PR,Puerto Rico,Ciales Municipio,United States of America,America/Puerto_Rico
641,Utuado,PR,Puerto Rico,Utuado Municipio,United States of America,America/Puerto_Rico
646,Dorado,PR,Puerto Rico,Dorado Municipio,United States of America,America/Puerto_Rico
647,Ensenada,PR,Puerto Rico,Guanica Municipio,United States of America,America/Puerto_Rico
650,Florida,PR,Puerto Rico,Florida Municipio,United States of America,America/Puerto_Rico
652,Garrochales,PR,Puerto Rico,Arecibo Municipio,United States of America,America/Puerto_Rico
653,Guanica,PR,Puerto Rico,Guanica Municipio,United States of America,America/Puerto_Rico
656,Guayanilla,PR,Puerto Rico,Guayanilla Municipio,United States of America,America/Puerto_Rico
659,Hatillo,PR,Puerto Rico,Hatillo Municipio,United States of America,America/Puerto_Rico
660,Hormigueros,PR,Puerto Rico,Hormigueros Municipio,United States of America,America/Puerto_Rico
662,Isabela,PR,Puerto Rico,Isabela Municipio,United States of America,America/Puerto_Rico
664,Jayuya,PR,Puerto Rico,Jayuya Municipio,United States of America,America/Puerto_Rico
667,Lajas,PR,Puerto Rico,Lajas Municipio,United States of America,America/Puerto_Rico
669,Lares,PR,Puerto Rico,Lares Municipio,United States of America,America/Puerto_Rico
670,Las Marias,PR,Puerto Rico,Las Marias Municipio,United States of America,America/Puerto_Rico
674,Manati,PR,Puerto Rico,Manati Municipio,United States of America,America/Puerto_Rico
676,Moca,PR,Puerto Rico,Moca Municipio,United States of America,America/Puerto_Rico
677,Rincon,PR,Puerto Rico,Rincon Municipio,United States of America,America/Puerto_Rico
678,Quebradillas,PR,Puerto Rico,Quebradillas Municipio,United States of America,America/Puerto_Rico
680,Mayaguez,PR,Puerto Rico,Mayaguez Municipio,United States of America,America/Puerto_Rico
681,Mayaguez,PR,Puerto Rico,,United States of America,America/Puerto_Rico
682,Mayaguez,PR,Puerto Rico,Mayaguez Municipio,United States of America,America/Puerto_Rico
683,San German,PR,Puerto Rico,San German Municipio,United States of America,America/Puerto_Rico
685,San Sebastian,PR,Puerto Rico,San Sebastian Municipio,United States of America,America/Puerto_Rico
687,Morovis,PR,Puerto Rico,Morovis Municipio,United States of America,America/Puerto_Rico
688,Sabana Hoyos,PR,Puerto Rico,Arecibo Municipio,United States of America,America/Puerto_Rico
690,San Antonio,PR,Puerto Rico,Aguadilla Municipio,United States of America,America/Puerto_Rico
692,Vega Alta,PR,Puerto Rico,Vega Alta Municipio,United States of America,America/Puerto_Rico
693,Vega Baja,PR,Puerto Rico,Vega Baja Municipio,United States of America,America/Puerto_Rico
694,Vega Baja,PR,Puerto Rico,Vega Baja Municipio,United States of America,America/Puerto_Rico
698,Yauco,PR,Puerto Rico,Yauco Municipio,United States of America,America/Puerto_Rico
703,Aguas Buenas,PR,Puerto Rico,Aguas Buenas Municipio,United States of America,America/Puerto_Rico
704,Aguirre,PR,Puerto Rico,Salinas Municipio,United States of America,America/Puerto_Rico
705,Aibonito,PR,Puerto Rico,Aibonito Municipio,United States of America,America/Puerto_Rico
707,Maunabo,PR,Puerto Rico,Maunabo Municipio,United States of America,America/Puerto_Rico
714,Arroyo,PR,Puerto Rico,Arroyo Municipio,United States of America,America/Puerto_Rico
715,Mercedita,PR,Puerto Rico,Ponce Municipio,United States of America,America/Puerto_Rico
716,Ponce,PR,Puerto Rico,Ponce Municipio,United States of America,America/Puerto_Rico
717,Ponce,PR,Puerto Rico,Ponce Municipio,United States of America,America/Puerto_Rico
718,Naguabo,PR,Puerto Rico,Naguabo Municipio,United States of America,America/Puerto_Rico
719,Naranjito,PR,Puerto Rico,Naranjito Municipio,United States of America,America/Puerto_Rico
720,Orocovis,PR,Puerto Rico,Orocovis Municipio,United States of America,America/Puerto_Rico
721,Palmer,PR,Puerto Rico,,United States of America,America/Puerto_Rico
723,Patillas,PR,Puerto Rico,Patillas Municipio,United States of America,America/Puerto_Rico
725,Caguas,PR,Puerto Rico,Caguas Municipio,United States of America,America/Puerto_Rico
726,Caguas,PR,Puerto Rico,,United States of America,America/Puerto_Rico
727,Caguas,PR,Puerto Rico,Caguas Municipio,United States of America,America/Puerto_Rico
728,Ponce,PR,Puerto Rico,Ponce Municipio,United States of America,America/Puerto_Rico
729,Canovanas,PR,Puerto Rico,Canovanas Municipio,United States of America,America/Puerto_Rico
730,Ponce,PR,Puerto Rico,Ponce Municipio,United States of America,America/Puerto_Rico
731,Ponce,PR,Puerto Rico,Ponce Municipio,United States of America,America/Puerto_Rico
732,Ponce,PR,Puerto Rico,,United States of America,America/Puerto_Rico
733,Ponce,PR,Puerto Rico,,United States of America,America/Puerto_Rico
734,Ponce,PR,Puerto Rico,,United States of America,America/Puerto_Rico
735,Ceiba,PR,Puerto Rico,Ceiba Municipio,United States of America,America/Puerto_Rico
736,Cayey,PR,Puerto Rico,Cayey Municipio,United States of America,America/Puerto_Rico
737,Cayey,PR,Puerto Rico,,United States of America,America/Puerto_Rico
738,Fajardo,PR,Puerto Rico,Fajardo Municipio,United States of America,America/Puerto_Rico
739,Cidra,PR,Puerto Rico,Cidra Municipio,United States of America,America/Puerto_Rico
740,Puerto Real,PR,Puerto Rico,Fajardo Municipio,United States of America,America/Puerto_Rico
741,Punta Santiago,PR,Puerto Rico,Humacao Municipio,United States of America,America/Puerto_Rico
742,Roosevelt Roads,PR,Puerto Rico,,United States of America,America/Puerto_Rico
744,Rio Blanco,PR,Puerto Rico,,United States of America,America/Puerto_Rico
745,Rio Grande,PR,Puerto Rico,Rio Grande Municipio,United States of America,America/Puerto_Rico
